fips,name,population,median_hh_income,poverty_rate_pct,pct_under_18,pct_65_plus
24001,"Allegany",67452,59603,16.85,17.84,21.14
24003,"Anne Arundel",598166,124911,5.64,22.38,15.86
24005,"Baltimore Co.",850796,91768,9.78,21.86,18.14
24009,"Calvert",94313,133922,3.87,23.11,16.33
24011,"Caroline",33669,68457,12.16,23.93,17.32
24013,"Carroll",175321,118211,5.21,22.04,17.94
24015,"Cecil",104960,92007,10.85,22.23,17.08
24017,"Charles",170527,122816,6.87,23.88,13.69
24019,"Dorchester",32754,61839,17.14,20.96,23.01
24021,"Frederick",287048,122002,6,23.34,15.29
24023,"Garrett",28615,67688,11.25,17.74,24.2
24025,"Harford",263757,112265,7.14,22.28,17.45
24027,"Howard",336328,149763,5.23,23.76,15.25
24029,"Kent",19346,80147,9.66,15.45,27.42
24031,"Montgomery",1065949,132450,7.45,22.81,16.99
24033,"Prince George's",959754,101798,10.84,22.1,14.91
24035,"Queen Anne's",51825,112826,6.44,21.08,20.68
24037,"St. Mary's",115126,119446,7.98,23.93,14.02
24039,"Somerset",24822,64943,16.36,17.47,17.8
24041,"Talbot",37917,84811,9.33,18.58,29.56
24043,"Washington",155709,77747,12.42,21.75,18.08
24045,"Wicomico",104914,76210,13.94,22.54,16.63
24047,"Worcester",53700,81745,9.94,17.1,28.62
24510,"Baltimore City",573243,62177,19.75,20.87,15.28